INDEX,UTM_X,UTM_Y
431,248470.2890840144,3688176.216684911
432,248470.2249786752,3688176.051904091
433,248470.1602230573,3688175.887267251
434,248470.0949501905,3688175.72219428
435,248470.0286469609,3688175.555382792
436,248469.9620527435,3688175.388483991
437,248469.8958029817,3688175.223117487
438,248469.8294382739,3688175.058301151
439,248469.7628728134,3688174.893792721
440,248469.6960117701,3688174.729396383
441,248469.6260156203,3688174.56861506
442,248469.5561891802,3688174.408978738
443,248469.486595353,3688174.250671898
444,248469.4171074613,3688174.093569608
445,248469.347349634,3688173.936856446
446,248469.2771948069,3688173.780338963
447,248469.206857399,3688173.624404382
448,248469.1368356363,3688173.470202608
449,248469.0669868091,3688173.31724635
450,248468.9973848529,3688173.165716189
451,248468.9268960579,3688173.012857059
452,248468.8559481662,3688172.859994672
453,248468.7852251132,3688172.708788639
454,248468.7143018344,3688172.557475543
455,248468.6438278781,3688172.407092639
456,248468.5732797606,3688172.256545155
457,248468.5021101592,3688172.104685511
458,248468.4307381062,3688171.952506446
459,248468.3599710209,3688171.801871607
460,248468.2889459034,3688171.650678639
461,248468.2184997535,3688171.50056093
462,248468.148910765,3688171.352056768
463,248468.0793151314,3688171.20348438
464,248468.0095653364,3688171.054632993
465,248467.9401802834,3688170.907313607
466,248467.8704070046,3688170.7601208
467,248467.8003513064,3688170.613020123
468,248467.7300183179,3688170.466009865
469,248467.6593241359,3688170.319117413
470,248467.58833247,3688170.172302832
471,248467.5172516105,3688170.025387509
472,248467.4461054284,3688169.878398348
473,248467.3748872141,3688169.731327799
474,248467.3035956772,3688169.58417438
475,248467.2322347855,3688169.436942573
476,248467.1607891196,3688169.28961496
477,248467.0892453569,3688169.142176508
478,248467.01761682,3688168.994642218
479,248466.9459189283,3688168.847029605
480,248466.8741476817,3688168.69933409
481,248466.8023044352,3688168.551557186
482,248466.7303673499,3688168.403674283
483,248466.6583312647,3688168.255807735
484,248466.5853620826,3688168.106546476
485,248466.5121658683,3688167.957374025
486,248466.4379262346,3688167.806594959
487,248466.3630224074,3688167.65492396
488,248466.2878264189,3688167.503159476
489,248466.2126241401,3688167.351723894
490,248466.1367207645,3688167.198977346
491,248466.0608118405,3688167.046279669
492,248465.9845105294,3688166.892867216
493,248465.9074935087,3688166.738223185
494,248465.8301619718,3688166.583426668
495,248465.7527734994,3688166.428928475
496,248465.6744643173,3688166.27296841
497,248465.5964652321,3688166.117831893
498,248465.5176048242,3688165.961510281
499,248465.4384853196,3688165.805353248
500,248465.3588735569,3688165.649160829
501,248465.2794351491,3688165.494052635
502,248465.2001394186,3688165.34057528
503,248465.1196171721,3688165.186143764
504,248465.0377715707,3688165.030611796
505,248464.9555662596,3688164.875406215
506,248464.8731634001,3688164.720753699
507,248464.7907744439,3688164.56721586
508,248464.7086754231,3688164.415412506
509,248464.6265899507,3688164.264679376
510,248464.5436031235,3688164.113255344
511,248464.4594844253,3688163.960628408
512,248464.3747004368,3688163.807462215
513,248464.2903060612,3688163.655888828
514,248464.2064331372,3688163.506021569
515,248464.1232599874,3688163.357652956
516,248464.0401372892,3688163.209597924
517,248463.956777333,3688163.061699891
518,248463.8723940864,3688162.913464053
519,248463.7871760979,3688162.765280698
520,248463.7022381094,3688162.618833408
521,248463.6166539274,3688162.472780375
522,248463.5303286808,3688162.327031117
523,248463.4429104343,3688162.181157827
524,248463.3546155426,3688162.035507892
525,248463.2666624896,3688161.891592408
526,248463.1791172753,3688161.749509601
527,248463.0912758997,3688161.608325763
528,248463.0025097822,3688161.466934086
529,248462.9133802776,3688161.325926472
530,248462.8232258052,3688161.183849988
531,248462.7328274296,3688161.041982214
532,248462.641779925,3688160.89958573
533,248462.549931001,3688160.756316052
534,248462.4583524964,3688160.613526568
535,248462.3673109272,3688160.471742793
536,248462.2758005194,3688160.329492181
537,248462.1832908212,3688160.185894503
538,248462.0898680263,3688160.041344181
539,248461.99548907,3688159.895939697
540,248461.9001838557,3688159.7496946
541,248461.8039895124,3688159.602943793
542,248461.7064277819,3688159.45801489
543,248461.6063600515,3688159.318474277
544,248461.5023051275,3688159.182846245
545,248461.3959481713,3688159.04710776
546,248461.2878472473,3688158.910836568
547,248461.1792176781,3688158.775256503
548,248461.0701665283,3688158.640328987
549,248460.9608495721,3688158.505816018
550,248460.8518726804,3688158.372554341
551,248460.7415879177,3688158.238265244
552,248460.6311967034,3688158.104241212
553,248460.5211788439,3688157.970802115
554,248460.4110817264,3688157.837019954
555,248460.3011328347,3688157.703218212
556,248460.190433072,3688157.567968664
557,248460.0796942771,3688157.432303437
558,248459.9694690627,3688157.296951405
559,248459.8594459452,3688157.161473825
560,248459.749731376,3688157.025946566
561,248459.640658194,3688156.890483309
562,248459.5325516571,3688156.755624179
563,248459.4249965718,3688156.620791921
564,248459.317447422,3688156.485113501
565,248459.2091534335,3688156.348540824
566,248459.1008657676,3688156.212212695
567,248458.9925846178,3688156.076136049
568,248458.8843105648,3688155.940333468
569,248458.7758405763,3688155.80436263
570,248458.66796562,3688155.669289468
571,248458.5600848573,3688155.534226791
572,248458.4527511914,3688155.39983121
573,248458.3463468158,3688155.263880887
574,248458.2422673434,3688155.12310021
575,248458.1412619356,3688154.97769521
576,248458.0412815923,3688154.831177629
577,248457.941824636,3688154.684042113
578,248457.8423618088,3688154.536311983
579,248457.7433184655,3688154.388474629
580,248457.6452086382,3688154.24089508
581,248457.546975553,3688154.09203137
582,248457.4492469838,3688153.942685402
583,248457.3517832534,3688153.792967951
584,248457.2543711681,3688153.643111016
585,248457.1576875667,3688153.494166435
586,248457.0611026105,3688153.345204338
587,248456.9646138478,3688153.19642124
588,248456.8674800851,3688153.046746789
589,248456.7701690644,3688152.896666306
590,248456.6735009146,3688152.747355047
591,248456.5767240874,3688152.597916595
592,248456.479613873,3688152.448406144
593,248456.3819601749,3688152.298452338
594,248456.2834139606,3688152.147985628
595,248456.1847859398,3688151.998535853
596,248456.0859463061,3688151.849221014
597,248455.9862630596,3688151.699071498
598,248455.8858362646,3688151.548236304
599,248455.7848721149,3688151.397154659
600,248455.6839613522,3688151.246637433
601,248455.5831886863,3688151.096657724
602,248455.4829461816,3688150.947799982
603,248455.3821507416,3688150.798594143
604,248455.2810553014,3688150.649437174
605,248455.1790511516,3688150.499520433
606,248455.0763278728,3688150.349156658
607,248454.974394465,3688150.20045253
608,248454.8732034119,3688150.053327691
609,248454.7719239396,3688149.906664659
610,248454.6701274995,3688149.759863562
611,248454.5686697368,3688149.613880626
612,248454.4670663934,3688149.468067336
613,248454.3661930501,3688149.323680788
614,248454.2660776745,3688149.180759401
615,248454.1658592022,3688149.03788253
616,248454.0654912136,3688148.894868691
617,248453.9652851284,3688148.751958434
618,248453.8660148496,3688148.610340336
619,248453.7674177966,3688148.469613336
620,248453.6692147435,3688148.329576755
621,248453.571242626,3688148.19005269
622,248453.4733814762,3688148.050882981
623,248453.3756638425,3688147.912328271
624,248453.2779946927,3688147.774582916
625,248453.1809997365,3688147.638060755
626,248453.0842469092,3688147.502007722
627,248452.9881962756,3688147.367066754
628,248452.8929102871,3688147.233317464
629,248452.7977312663,3688147.09987256
630,248452.7028093101,3688146.967082334
631,248452.6077422893,3688146.834781818
632,248452.5121453008,3688146.702374431
633,248452.4157455059,3688146.56955485
634,248452.3194736464,3688146.437589108
635,248452.2237034966,3688146.306942591
636,248452.1275427984,3688146.176536269
637,248452.0314628099,3688146.046957656
638,248451.9347200795,3688145.917205882
639,248451.8376519943,3688145.787651688
640,248451.7407617799,3688145.659034913
641,248451.6442547592,3688145.531751591
642,248451.5471612223,3688145.404632365
643,248451.4497271693,3688145.27825901
644,248451.3514260195,3688145.151760397
645,248451.2525719665,3688145.025527204
646,248451.1527973974,3688144.89941872
647,248451.0530298928,3688144.774420462
648,248450.9534851946,3688144.651054816
649,248450.8523805287,3688144.526983816
650,248450.7494874434,3688144.402248817
651,248450.6458869065,3688144.278362526
652,248450.5401924986,3688144.153912236
653,248450.4342242521,3688144.030964203
654,248450.3279225539,3688143.909176171
655,248450.2203664686,3688143.787368462
656,248450.1114552543,3688143.665327881
657,248450.0009896529,3688143.543076784
658,248449.8902350192,3688143.421816461
659,248449.7786866113,3688143.30100788
660,248449.6669132035,3688143.181445913
661,248449.555018344,3688143.062918623
662,248449.4423644523,3688142.94447188
663,248449.3289075283,3688142.825910364
664,248449.215164056,3688142.707684654
665,248449.1016257772,3688142.590285816
666,248448.9877601758,3688142.47316017
667,248448.8742409292,3688142.357096751
668,248448.7608710697,3688142.241801492
669,248448.6465874361,3688142.126139073
670,248448.5313652218,3688142.01002546
671,248448.4157102978,3688141.894001653
672,248448.3001116319,3688141.778554234
673,248448.1840449337,3688141.66314317
674,248448.0681524291,3688141.548504783
675,248447.9521945696,3688141.434304751
676,248447.8350257424,3688141.319319008
677,248447.7182579152,3688141.205218717
678,248447.6011138299,3688141.091024427
679,248447.4839316479,3688140.977072621
680,248447.3673126916,3688140.864055911
681,248447.2516661225,3688140.752242105
682,248447.1361476824,3688140.640383007
683,248447.0212744359,3688140.528936943
684,248446.906176157,3688140.416967814
685,248446.791059233,3688140.304495039
686,248446.6773000832,3688140.192893588
687,248446.5643515786,3688140.081576491
688,248446.4526286223,3688139.970826652
689,248446.3411015048,3688139.859716555
690,248446.2294151937,3688139.747794878
691,248446.1179307213,3688139.635480071
692,248446.0065761199,3688139.522777586
693,248445.8965212927,3688139.410834877
694,248445.7870987236,3688139.299048748
695,248445.6780517351,3688139.187272716
696,248445.5691372304,3688139.075289135
697,248445.459985629,3688138.962662457
698,248445.3509666083,3688138.849880168
699,248445.242014523,3688138.737042684
700,248445.1343077926,3688138.625313361
701,248445.0271707073,3688138.514022135
702,248444.9203424608,3688138.402912361
703,248444.8135836013,3688138.291756941
704,248444.7065104515,3688138.180156458
705,248444.5986635275,3688138.067600748
