INDEX,L1_UTM_X,L1_UTM_Y,L1_KAPPA,R1_UTM_X,R1_UTM_Y,R1_KAPPA
55,250311.6539404585,3688276.8851856054,0.015609888942317627,250313.01823715534,3688275.408868574,0.014342543298764264
56,250311.91731078917,3688277.1873901137,0.2732838569551481,250313.28376451926,3688275.709388951,0.16259445139422452
57,250312.17620869653,3688277.4933438324,0.09042153887418151,250313.53946909544,3688276.018056489,0.7013353488821061
58,250312.44703938632,3688277.788956727,0.05083425720991081,250313.8068116433,3688276.3169691386,0.2006256755786034
59,250312.7053793353,3688278.0950917066,0.18597960167512834,250314.0795763032,3688276.6109085553,0.6782878531928329
60,250312.95382542894,3688278.409559255,0.4713379159832723,250314.33174808795,3688276.9226848343,0.6618446791352601
61,250313.2155963761,3688278.7132371287,0.07858078779891933,250314.58454511894,3688277.2335755024,0.1980206617895902
62,250313.47238731373,3688279.021030207,0.26619212987896496,250314.8400041016,3688277.542603531,0.4892522747999983
63,250313.72519805032,3688279.3322029426,0.11235556591037157,250315.0955696797,3688277.8514941623,0.3008798875174288
64,250313.97392246072,3688279.6466688095,0.2139795291797456,250315.3505681094,3688278.1609923844,0.1508145671470445
65,250314.23732622707,3688279.9488037457,0.2915660681882166,250315.60085899968,3688278.4742757175,0.4332986934295371
66,250314.4915371799,3688280.258860522,0.016936245843920162,250315.86307067328,3688278.777584438,0.0004716279983022577
67,250314.7480950488,3688280.5668300735,0.23328764176992856,250316.11779934066,3688279.0873062937,0.1964323119625681
68,250315.00311685447,3688280.8757891157,0.09340320324155231,250316.38069006926,3688279.389897311,0.5265603294107394
69,250315.25257959048,3688281.189567506,0.14783457992937155,250316.62576159713,3688279.7072348916,0.41931600150782355
70,250315.50017772,3688281.504910703,0.04505813169528962,250316.87633975057,3688280.0203137044,0.07626309033900848
71,250315.7572210236,3688281.81255188,0.08793884692874529,250317.12542123772,3688280.3345947773,0.176434845732793
72,250316.0230815362,3688282.1126721655,0.053655421311002906,250317.38862220602,3688280.637111004,0.07418053766252036
73,250316.28197513238,3688282.418761227,0.09500138309210471,250317.65258082762,3688280.9389994997,0.1798002524412832
74,250316.53671944205,3688282.7282597455,0.11983761075001138,250317.91072432618,3688281.2458841545,0.015110735965592644
75,250316.78254844912,3688283.044945467,0.1856215950150568,250318.15937601434,3688281.560338291,0.2838638807471599
76,250317.02418045184,3688283.36486736,0.1330884655249752,250318.40568527434,3688281.8767763632,0.1124600472864308
77,250317.27616996958,3688283.676754773,0.16548937719905368,250318.64991747795,3688282.194771144,0.004440126586489071
78,250317.54534163358,3688283.973749875,0.17231389035917452,250318.90584911875,3688282.503432686,0.3570406364810147
79,250317.80723691027,3688284.277216604,0.10004742334850997,250319.17730109638,3688282.798580596,0.22580564049074398
