INDEX,L1_UTM_X,L1_UTM_Y,L1_LON,L1_LAT,L1_ALT,R1_UTM_X,R1_UTM_Y,R1_LON,R1_LAT,R1_ALT
5196,329946.009216353,4157648.67376243,127.074901586942,37.550168380399,15.7696,329944.485941794,4157647.37775525,127.074884652002,37.550156424227,15.7696
5197,329945.995645128,4157648.68988817,127.07490142965,37.550168523163,15.77,329944.47428333,4157647.39163616,127.074884516873,37.550156547122,15.77
5198,329945.982185877,4157648.70586213,127.074901273661,37.550168664581,15.7701,329944.462521857,4157647.4056232,127.074884380554,37.550156670953,15.7701
5199,329945.968541937,4157648.72173886,127.074901115605,37.550168805088,15.7702,329944.450754322,4157647.41931007,127.074884244236,37.55015679208,15.7702
5200,329945.955069289,4157648.73749465,127.074900959514,37.550168944538,15.7697,329944.439239058,4157647.43278828,127.074884110821,37.550156911373,15.7697
5201,329945.941632841,4157648.75311953,127.074900803864,37.550169082815,15.7691,329944.427662994,4157647.44625484,127.074883976721,37.55015703055,15.7691
5202,329945.928102898,4157648.768516,127.074900647209,37.550169219017,15.7688,329944.416288035,4157647.45915897,127.074883845026,37.550157144698,15.7688
5203,329945.914601818,4157648.78399971,127.07490049086,37.55016935601,15.769,329944.406072705,4157647.47085847,127.074883726731,37.550157248207,15.769
5204,329945.901214336,4157648.79945699,127.074900335802,37.550169492787,15.7692,329944.397304984,4157647.48102737,127.07488362517,37.550157338196,15.7692
5205,329945.887914081,4157648.81486475,127.074900181743,37.550169629133,15.7691,329944.389508594,4157647.49018328,127.074883534835,37.550157419238,15.7691
5206,329945.874689963,4157648.83023232,127.074900028555,37.550169765131,15.7686,329944.382695056,4157647.49833473,127.074883455853,37.550157491413,15.7686
5207,329945.861486837,4157648.84541466,127.074899875647,37.550169899464,15.7678,329944.376279856,4157647.505952,127.074883381501,37.550157558849,15.7678
5208,329945.847902712,4157648.8603593,127.074899718483,37.550170031586,15.7675,329944.369347294,4157647.51355795,127.074883301299,37.550157626088,15.7675
5209,329945.834232538,4157648.87507384,127.074899560399,37.550170161619,15.7674,329944.361450737,4157647.52196122,127.074883210004,37.550157700331,15.7674
5210,329945.820485986,4157648.88955826,127.074899401505,37.550170289565,15.7672,329944.352220796,4157647.53154599,127.074883103349,37.550157784972,15.7672
5211,329945.806798448,4157648.90377367,127.07489924334,37.550170415099,15.7668,329944.3415375,4157647.54252044,127.074882979927,37.550157881864,15.7668
5212,329945.793214081,4157648.91796998,127.074899086347,37.550170540479,15.7659,329944.329398183,4157647.55516295,127.074882839645,37.550157993514,15.7659
5213,329945.779630347,4157648.93211865,127.074898929372,37.550170665431,15.7651,329944.316132955,4157647.56896958,127.074882686353,37.550158115443,15.7651
5214,329945.76619096,4157648.94644644,127.074898773989,37.550170792022,15.7643,329944.302543226,4157647.5834588,127.074882529232,37.550158243461,15.7643
5215,329945.752753611,4157648.96102394,127.074898618571,37.550170920864,15.7637,329944.289473736,4157647.59764138,127.074882378067,37.550158368812,15.7637
5216,329945.739635495,4157648.97572975,127.074898466736,37.55017105092,15.7627,329944.278335073,4157647.61022579,127.07488224912,37.550158480123,15.7627
5217,329945.726381857,4157648.99047428,127.074898313358,37.5501711813,15.7619,329944.269179467,4157647.62059794,127.074882143124,37.550158571871,15.7619
5218,329945.713119914,4157649.00517372,127.074898159896,37.550171311273,15.7612,329944.26242451,4157647.62840837,127.074882064883,37.550158640985,15.7612
5219,329945.699612875,4157649.01972861,127.074898003695,37.550171439898,15.7607,329944.257599412,4157647.6338725,127.074882009023,37.550158689318,15.7607
5220,329945.685769393,4157649.03422312,127.074897843701,37.550171567917,15.7603,329944.253573136,4157647.63822388,127.074881962458,37.550158727774,15.7603
5221,329945.67162341,4157649.04856347,127.074897680321,37.550171694491,15.7601,329944.249314588,4157647.64249177,127.074881913285,37.550158765436,15.7601
5222,329945.65720828,4157649.06261456,127.074897513962,37.55017181841,15.7596,329944.243621453,4157647.64777454,127.074881847645,37.550158811975,15.7596
5223,329945.642699109,4157649.07636355,127.074897346608,37.55017193959,15.7586,329944.235797356,4157647.65487579,127.074881757472,37.550158874502,15.7586
5224,329945.628169598,4157649.09007785,127.074897179033,37.550172060454,15.7573,329944.225094461,4157647.66481291,127.074881634069,37.550158962046,15.7573
5225,329945.613740922,4157649.10376555,127.074897012605,37.550172181097,15.7556,329944.211430714,4157647.67774799,127.07488147647,37.55015907605,15.7556
5226,329945.599249854,4157649.11751882,127.074896845456,37.550172302319,15.754,329944.1953792,4157647.69303744,127.074881291309,37.550159210822,15.754
